text,label
Brilliant acting and perfect story!,positive
"Horrible acting, plot made no sense",negative
Brilliant acting and perfect story!,positive
I didn’t enjoy it at all 👎,negative
Absolutely loved it! 😍,positive
"Terrible movie, wasted my time 😡",negative
Absolutely loved it! 😍,positive
I didn’t enjoy it at all 👎,negative
"This film was amazing, so fun to watch!",positive
I didn’t enjoy it at all 👎,negative
I can’t stop smiling after this movie 😄,positive
I didn’t enjoy it at all 👎,negative
"This film was amazing, so fun to watch!",positive
I didn’t enjoy it at all 👎,negative
"This film was amazing, so fun to watch!",positive
I didn’t enjoy it at all 👎,negative
I can’t stop smiling after this movie 😄,positive
"Horrible acting, plot made no sense",negative
I can’t stop smiling after this movie 😄,positive
Boring and predictable story,negative
Absolutely loved it! 😍,positive
Boring and predictable story,negative
I can’t stop smiling after this movie 😄,positive
"Terrible movie, wasted my time 😡",negative
"This film was amazing, so fun to watch!",positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
Boring and predictable story,negative
Totally recommend it to everyone 👍,positive
One of the worst films I’ve seen 😠,negative
I can’t stop smiling after this movie 😄,positive
One of the worst films I’ve seen 😠,negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
Totally recommend it to everyone 👍,positive
"Horrible acting, plot made no sense",negative
Brilliant acting and perfect story!,positive
One of the worst films I’ve seen 😠,negative
"This film was amazing, so fun to watch!",positive
"Horrible acting, plot made no sense",negative
Totally recommend it to everyone 👍,positive
I didn’t enjoy it at all 👎,negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
I can’t stop smiling after this movie 😄,positive
Boring and predictable story,negative
Totally recommend it to everyone 👍,positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
One of the worst films I’ve seen 😠,negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
Absolutely loved it! 😍,positive
One of the worst films I’ve seen 😠,negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
I can’t stop smiling after this movie 😄,positive
"Terrible movie, wasted my time 😡",negative
Brilliant acting and perfect story!,positive
One of the worst films I’ve seen 😠,negative
I can’t stop smiling after this movie 😄,positive
Boring and predictable story,negative
"This film was amazing, so fun to watch!",positive
"Terrible movie, wasted my time 😡",negative
I can’t stop smiling after this movie 😄,positive
I didn’t enjoy it at all 👎,negative
"This film was amazing, so fun to watch!",positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
"Horrible acting, plot made no sense",negative
I can’t stop smiling after this movie 😄,positive
I didn’t enjoy it at all 👎,negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
Brilliant acting and perfect story!,positive
"Horrible acting, plot made no sense",negative
"This film was amazing, so fun to watch!",positive
One of the worst films I’ve seen 😠,negative
Totally recommend it to everyone 👍,positive
I didn’t enjoy it at all 👎,negative
"This film was amazing, so fun to watch!",positive
"Terrible movie, wasted my time 😡",negative
Absolutely loved it! 😍,positive
Boring and predictable story,negative
"This film was amazing, so fun to watch!",positive
One of the worst films I’ve seen 😠,negative
Brilliant acting and perfect story!,positive
"Horrible acting, plot made no sense",negative
I can’t stop smiling after this movie 😄,positive
One of the worst films I’ve seen 😠,negative
Brilliant acting and perfect story!,positive
"Horrible acting, plot made no sense",negative
"This film was amazing, so fun to watch!",positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
I didn’t enjoy it at all 👎,negative
Totally recommend it to everyone 👍,positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
Boring and predictable story,negative
I can’t stop smiling after this movie 😄,positive
"Horrible acting, plot made no sense",negative
"This film was amazing, so fun to watch!",positive
"Horrible acting, plot made no sense",negative
Absolutely loved it! 😍,positive
"Terrible movie, wasted my time 😡",negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
Absolutely loved it! 😍,positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
One of the worst films I’ve seen 😠,negative
I can’t stop smiling after this movie 😄,positive
"Terrible movie, wasted my time 😡",negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
"This film was amazing, so fun to watch!",positive
Boring and predictable story,negative
"This film was amazing, so fun to watch!",positive
Boring and predictable story,negative
"This film was amazing, so fun to watch!",positive
One of the worst films I’ve seen 😠,negative
Brilliant acting and perfect story!,positive
"Terrible movie, wasted my time 😡",negative
Absolutely loved it! 😍,positive
"Horrible acting, plot made no sense",negative
"This film was amazing, so fun to watch!",positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
One of the worst films I’ve seen 😠,negative
Totally recommend it to everyone 👍,positive
"Terrible movie, wasted my time 😡",negative
Totally recommend it to everyone 👍,positive
I didn’t enjoy it at all 👎,negative
Brilliant acting and perfect story!,positive
Boring and predictable story,negative
Totally recommend it to everyone 👍,positive
Boring and predictable story,negative
Totally recommend it to everyone 👍,positive
"Terrible movie, wasted my time 😡",negative
I can’t stop smiling after this movie 😄,positive
"Horrible acting, plot made no sense",negative
Absolutely loved it! 😍,positive
Boring and predictable story,negative
I can’t stop smiling after this movie 😄,positive
"Terrible movie, wasted my time 😡",negative
I can’t stop smiling after this movie 😄,positive
"Horrible acting, plot made no sense",negative
Absolutely loved it! 😍,positive
I didn’t enjoy it at all 👎,negative
Brilliant acting and perfect story!,positive
One of the worst films I’ve seen 😠,negative
"This film was amazing, so fun to watch!",positive
"Horrible acting, plot made no sense",negative
Absolutely loved it! 😍,positive
"Horrible acting, plot made no sense",negative
I can’t stop smiling after this movie 😄,positive
I didn’t enjoy it at all 👎,negative
Brilliant acting and perfect story!,positive
One of the worst films I’ve seen 😠,negative
Absolutely loved it! 😍,positive
One of the worst films I’ve seen 😠,negative
Brilliant acting and perfect story!,positive
I didn’t enjoy it at all 👎,negative
Brilliant acting and perfect story!,positive
One of the worst films I’ve seen 😠,negative
Totally recommend it to everyone 👍,positive
I didn’t enjoy it at all 👎,negative
Totally recommend it to everyone 👍,positive
"Terrible movie, wasted my time 😡",negative
I can’t stop smiling after this movie 😄,positive
Boring and predictable story,negative
Brilliant acting and perfect story!,positive
One of the worst films I’ve seen 😠,negative
Totally recommend it to everyone 👍,positive
"Terrible movie, wasted my time 😡",negative
I can’t stop smiling after this movie 😄,positive
I didn’t enjoy it at all 👎,negative
Brilliant acting and perfect story!,positive
"Horrible acting, plot made no sense",negative
